data_somministrazione;area;totale;sesso_maschile;sesso_femminile;prima_dose;seconda_dose;pregressa_infezione;dose_aggiuntiva;codice_NUTS1;codice_NUTS2;codice_regione_ISTAT;nome_area;Latitudine;Longitudine;ricoverati_con_sintomi;terapia_intensiva;totale_ospedalizzati;isolamento_domiciliare;totale_positivi;variazione_totale_positivi;nuovi_positivi;dimessi_guariti;deceduti;totale_casi;tamponi;casi_testati
2021-01-03;BAS;910;347;563;910;0;0;0;ITF;ITF5;17;Basilicata;40.63947052;15.80514834;97;3;100;6091;6191;49;81;4649;262;11102;186177;118776
2021-01-03;LAZ;5362;2019;3343;5303;0;59;0;ITI;ITI4;12;Lazio;41.89277044;12.48366722;2824;309;3133;74020;77153;705;1681;86927;3840;167920;2742661;2062465
2021-01-03;FVG;314;124;190;314;0;0;0;ITH;ITH4;6;Friuli-Venezia Giulia;45.6494354;13.76813649;658;61;719;10930;11649;-198;200;37945;1707;51301;945021;344372
2021-01-03;CAL;6;3;3;6;0;0;0;ITF;ITF6;18;Calabria;38.90597598;16.59440194;242;19;261;8396;8657;-159;150;15445;488;24590;445178;426109
2021-01-03;PAT;503;166;337;503;0;0;0;ITH;ITH2;4;Provincia Autonoma Trento;46.06893511;11.12123097;382;44;426;1555;1981;-1;130;19337;961;22279;456111;152347
2021-01-03;EMR;2764;945;1819;2764;0;0;0;ITH;ITH5;8;Emilia-Romagna;44.49436681;11.341720800000001;2657;234;2891;53737;56628;-1878;1818;113473;7887;177988;2603180;1239887
2021-01-03;UMB;270;112;158;270;0;0;0;ITI;ITI2;10;Umbria;43.10675841;12.38824698;268;48;316;3588;3904;111;202;24905;631;29440;509101;254304
2021-01-03;VEN;5158;1562;3596;5158;0;0;0;ITH;ITH3;5;Veneto;45.43490485;12.33845213;2688;365;3053;92106;95159;1038;3419;163342;6763;265264;3348514;1228798
2021-01-03;PIE;3071;973;2098;3070;0;1;0;ITC;ITC1;1;Piemonte;45.0732745;7.680687483;2786;188;2974;18489;21463;-2734;741;170618;7979;200060;1694353;990328
2021-01-03;MAR;912;358;554;902;0;10;0;ITI;ITI3;11;Marche;43.61675973;13.5188753;479;67;546;11520;12066;279;372;29301;1607;42974;542199;321308
2021-01-03;SIC;4819;2519;2300;4785;0;34;0;ITG;ITG1;19;Sicilia;38.11569725;13.362356699999998;1137;184;1321;34270;35591;641;1047;58462;2494;96547;1238041;823898
2021-01-03;SAR;90;36;54;90;0;0;0;ITG;ITG2;20;Sardegna;39.21531192;9.110616306;473;43;516;16238;16754;82;194;14343;764;31861;488894;410264
2021-01-03;CAM;3836;2009;1827;3787;0;49;0;ITF;ITF3;15;Campania;40.83956555;14.25084984;1362;98;1460;76365;77825;-190;619;111682;2911;192418;2065442;1381652
2021-01-03;LOM;857;316;541;856;0;1;0;ITC;ITC4;3;Lombardia;45.46679409;9.190347404;3267;489;3756;53199;56955;945;1709;402798;25317;485070;4910001;2626398
2021-01-03;PUG;2010;944;1066;2009;0;1;0;ITF;ITF4;16;Puglia;41.12559576;16.86736689;1476;136;1612;52466;54078;266;950;37059;2516;93653;1060971;659907
2021-01-03;PAB;42;17;25;42;0;0;0;ITH;ITH1;4;Provincia Autonoma Bolzano / Bozen;46.49933453;11.35662422;186;24;210;10640;10850;12;96;18345;751;29946;365076;163696
2021-01-03;TOS;3364;1070;2294;3317;0;47;0;ITI;ITI1;9;Toscana;43.76923077;11.25588885;834;147;981;8967;9948;-73;355;108092;3730;121770;1904826;1069499
2021-01-03;LIG;738;233;505;736;0;2;0;ITC;ITC3;7;Liguria;44.41149315;8.9326992;696;71;767;5020;5787;85;221;52606;2912;61305;717946;325350
2021-01-04;LOM;6140;2121;4019;6133;0;7;0;ITC;ITC4;3;Lombardia;45.46679409;9.190347404;3227;484;3711;48976;52687;-4268;863;407902;25344;485933;4918162;2629427
2021-01-04;CAM;5828;2962;2866;5727;0;101;0;ITF;ITF3;15;Campania;40.83956555;14.25084984;1377;96;1473;76024;77497;-328;747;112726;2942;193165;2072185;1385616
2021-01-04;FVG;1515;564;951;1515;0;0;0;ITH;ITH4;6;Friuli-Venezia Giulia;45.6494354;13.76813649;663;63;726;10967;11693;44;281;38158;1731;51582;947459;345095
2021-01-04;SIC;8687;4330;4357;8637;0;50;0;ITG;ITG1;19;Sicilia;38.11569725;13.362356699999998;1181;186;1367;35211;36578;987;1391;58832;2528;97938;1245638;828750
2021-01-04;SAR;609;230;379;609;0;0;0;ITG;ITG2;20;Sardegna;39.21531192;9.110616306;489;43;532;16194;16726;-28;177;14544;768;32038;490740;411817
2021-01-04;VEN;6741;2037;4704;6739;0;2;0;ITH;ITH3;5;Veneto;45.43490485;12.33845213;2706;368;3074;91882;94956;-203;1682;165177;6813;266946;3356648;1230879
2021-01-04;CAL;1076;533;543;1073;0;3;0;ITF;ITF6;18;Calabria;38.90597598;16.59440194;248;19;267;8296;8563;-94;221;15757;491;24811;446732;427556
2021-01-04;LAZ;7602;2953;4649;7496;0;106;0;ITI;ITI4;12;Lazio;41.89277044;12.48366722;2852;318;3170;73907;77077;-76;1334;88314;3863;169254;2752420;2066588
2021-01-04;EMR;7314;2527;4787;7311;0;3;0;ITH;ITH5;8;Emilia-Romagna;44.49436681;11.341720800000001;2684;235;2919;53466;56385;-243;1600;115260;7941;179586;2612313;1242760
2021-01-04;PIE;5586;1690;3896;5585;0;1;0;ITC;ITC1;1;Piemonte;45.0732745;7.680687483;2819;183;3002;17511;20513;-950;446;172005;7988;200506;1697788;991545
2021-01-04;PAT;905;250;655;903;0;2;0;ITH;ITH2;4;Provincia Autonoma Trento;46.06893511;11.12123097;379;43;422;1643;2065;84;193;19431;976;22472;456758;152678
2021-01-04;PUG;4514;2017;2497;4512;0;2;0;ITF;ITF4;16;Puglia;41.12559576;16.86736689;1464;137;1601;51938;53539;-539;631;38209;2536;94284;1065109;662401
2021-01-04;TOS;5240;1998;3242;5173;0;67;0;ITI;ITI1;9;Toscana;43.76923077;11.25588885;877;141;1018;8961;9979;31;313;108360;3744;122083;1910036;1071154
2021-01-04;MOL;315;132;183;315;0;0;0;ITF;ITF2;14;Molise;41.55774754;14.65916051;54;10;64;1604;1668;-70;82;4890;197;6755;117666;107613
2021-01-04;PAB;510;201;309;510;0;0;0;ITH;ITH1;4;Provincia Autonoma Bolzano / Bozen;46.49933453;11.35662422;197;25;222;10602;10824;-26;37;18403;756;29983;366281;164012
2021-01-04;LIG;2625;857;1768;2624;0;1;0;ITC;ITC3;7;Liguria;44.41149315;8.9326992;716;75;791;4957;5748;-39;204;52844;2917;61509;719953;326003
2021-01-04;MAR;1529;574;955;1516;0;13;0;ITI;ITI3;11;Marche;43.61675973;13.5188753;487;65;552;11765;12317;251;355;29397;1615;43329;545237;323629
2021-01-04;VDA;144;61;83;144;0;0;0;ITC;ITC2;2;Valle d'Aosta / Vallée d'Aoste;45.73750286;7.320149366;63;1;64;346;410;-4;27;6562;387;7359;63531;38800
2021-01-04;BAS;614;275;339;614;0;0;0;ITF;ITF5;17;Basilicata;40.63947052;15.80514834;94;4;98;6052;6150;-41;41;4726;267;11143;186740;118966
2021-01-04;ABR;1515;685;830;1509;0;6;0;ITF;ITF1;13;Abruzzo;42.35122196;13.39843823;466;39;505;10700;11205;-218;121;23629;1240;36074;523233;272345
2021-01-04;UMB;810;397;413;810;0;0;0;ITI;ITI2;10;Umbria;43.10675841;12.38824698;274;44;318;3560;3878;-26;54;24980;636;29494;509643;254520
2021-01-05;ABR;1735;721;1014;1730;0;5;0;ITF;ITF1;13;Abruzzo;42.35122196;13.39843823;471;39;510;10584;11094;-111;213;23941;1252;36287;525626;273182
2021-01-05;BAS;953;410;543;953;0;0;0;ITF;ITF5;17;Basilicata;40.63947052;15.80514834;93;4;97;6073;6170;20;56;4761;268;11199;187668;119357
2021-01-05;PAB;830;286;544;829;0;1;0;ITH;ITH1;4;Provincia Autonoma Bolzano / Bozen;46.49933453;11.35662422;203;27;230;10683;10913;89;148;18460;758;30131;367689;164243
2021-01-05;EMR;9374;3174;6200;9370;0;4;0;ITH;ITH5;8;Emilia-Romagna;44.49436681;11.341720800000001;2696;232;2928;54249;57177;792;1506;115907;8005;181089;2628108;1246273
2021-01-05;SAR;1358;458;900;1358;0;0;0;ITG;ITG2;20;Sardegna;39.21531192;9.110616306;488;45;533;16237;16770;44;232;14723;777;32270;493754;414250
2021-01-05;VDA;151;55;96;151;0;0;0;ITC;ITC2;2;Valle d'Aosta / Vallée d'Aoste;45.73750286;7.320149366;54;1;55;353;408;-2;21;6585;387;7380;63793;39235
2021-01-05;SIC;10637;5231;5406;10554;0;83;0;ITG;ITG1;19;Sicilia;38.11569725;13.362356699999998;1198;190;1388;36038;37426;848;1576;59524;2564;99514;1255175;835040
